course,section,class_number,instructor,days,time,modality,room,status,credits,result_category,time_filter_status,warnings
ENGL 48502,05-TUT Regular,7991,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48502,06-TUT Regular,7990,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48503,01-TUT Regular,7989,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48503,02-TUT Regular,7988,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48503,03-TUT Regular,7987,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48504,01-TUT Regular,7986,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48504,02-TUT Regular,7985,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48504,03-TUT Regular,7984,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48505,01-TUT Regular,7983,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48505,02-TUT Regular,7982,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48505,03-TUT Regular,7981,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48505,04-TUT Regular,7980,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48505,05-TUT Regular,7979,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48505,06-TUT Regular,7978,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48506,01-TUT Regular,4630,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48506,02-TUT Regular,4631,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48506,03-TUT Regular,4632,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 49010,01-SEM Regular,9908,Nico Israel,We,11:30AM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 49058,01-SEM Regular,5604,Kelvin Black,TuTh,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 49202,01-LEC Regular,5915,Collin Craig,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 4941Z,01-SEM Regular,9909,Nico Israel,We,11:30AM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 4942A,01-SEM Regular,9910,Collin Craig,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 49432,01-LEC Regular,5896,Kelvin Black,TuTh,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 49801,01-INT Regular,7977,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
ENGL 49802,01-INT Regular,7976,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
ENGL 49803,01-INT Regular,7975,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 49803,02-INT Regular,7974,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 49803,03-INT Regular,7973,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 68101,01-TUT Regular,7972,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
ENGL 68102,01-TUT Regular,7971,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
ENGL 68103,01-TUT Regular,7970,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 70900,01-LEC Regular,5872,Paul McPherron,Th,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 76550,01-LEC Regular,5844,Sonali Perera,Tu,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 77253,01-LEC Regular,9913,Chong Smith,Th,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 78800,01-LEC Regular,7968,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78800,02-LEC Regular,7969,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78800,03-LEC Regular,7967,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78800,04-LEC Regular,7966,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78800,05-LEC Regular,7965,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78900,01-THE Regular,7964,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78900,02-THE Regular,7963,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78900,03-THE Regular,7962,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78900,04-THE Regular,7961,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78900,05-THE Regular,7960,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 78900,06-THE Regular,7959,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79002,01-LEC Regular,5760,Adam Haslett,Tu,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 79402,01-LEC Regular,5741,Donna Masini,Th,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 79502,01-LEC Regular,5730,Said Sayrafiezadeh,Th,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 79701,01-THE Regular,5705,John Murillo,Tu,5:30PM - 7:20PM,In Person,TBA,Open,3.0,matched,match,
ENGL 79800,01-LEC Regular,5703,Adam Haslett,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79800,02-LEC Regular,7958,Ayana Mathis,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79800,03-LEC Regular,7957,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79800,04-LEC Regular,7956,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79800,05-LEC Regular,5701,Said Sayrafiezadeh,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79800,06-LEC Regular,7955,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 79800,07-LEC Regular,7954,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
MATH 10100,05-LEC Regular,6049,TBA,MoWe,11:00AM - 12:50PM,In Person,West Bldg W204,Open,3.0,matched,match,
MATH 10100,06-LEC Regular,5286,TBA,MoWe,11:00AM - 12:50PM,In Person,North Bldg C004,Open,3.0,matched,match,
MATH 10100,07-LEC Regular,6048,TBA,MoWe,1:00PM - 2:50PM,In Person,West Bldg W204,Open,3.0,matched,match,
MATH 10100,08-LEC Regular,5285,TBA,MoWe,1:00PM - 2:50PM,In Person,North Bldg C004,Open,3.0,matched,match,
MATH 10100,09-LEC Regular,6047,TBA,MoWe,3:00PM - 4:50PM,In Person,West Bldg W204,Open,3.0,matched,match,
MATH 10100,17-LEC Regular,6042,TBA,TuTh,12:00PM - 1:50PM,In Person,West Bldg W204,Open,3.0,matched,match,
MATH 10100,18-LEC Regular,5281,TBA,TuTh,1:00PM - 2:50PM,In Person,ThomHunter 407,Open,3.0,matched,match,
MATH 10100,19-LEC Regular,6041,TBA,TuTh,4:00PM - 5:50PM,In Person,West Bldg W204,Open,3.0,matched,match,
MATH 10100,20-LEC Regular,5280,TBA,TuTh,5:30PM - 7:20PM,In Person,North Bldg 321,Open,3.0,matched,match,
MATH 10100,21-LEC Regular,5279,TBA,TuTh,5:30PM - 7:20PM,In Person,North Bldg C110,Open,3.0,matched,match,
MATH 10200,02-LEC Regular,5974,TBA,MoWe,10:00AM - 11:15AM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 10200,03-LEC Regular,5975,TBA,MoWe,11:30AM - 12:45PM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 10200,04-LEC Regular,5976,TBA,MoWe,1:00PM - 2:15PM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 10200,05-LEC Regular,5972,TBA,MoWe,2:30PM - 3:45PM,In Person,West Bldg W406,Open,3.0,matched,match,
MATH 10200,08-LEC Regular,5275,TBA,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
MATH 10200,09-LEC Regular,5274,TBA,TuTh,2:30PM - 3:45PM,In Person,West Bldg W204,Open,3.0,matched,match,
MATH 10200,CN1-LEC Regular,5273,TBA,MoWe,4:00PM - 5:15PM,In Person,ThomHunter 407,Open,3.0,matched,match,
